,Count
JW,0
JX,1
JY,1
JZ,1
J_,245
KA,1825
KB,59
KC,23
KD,9
KE,48543
KF,579
KG,80
KH,86
KI,20928
KJ,6
KK,28
KL,2041
KM,175
KN,15754
KO,1070
KP,12
KQ,0
KR,136
KS,8968
KT,32
KU,288
KV,6
KW,279
KX,0
KY,1214
KZ,0
K_,50649
LA,68015
LB,1141
LC,1667
LD,57163
LE,129379
LF,14669
LG,713
LH,113
LI,84106
LJ,0
LK,5445
LL,119256
LM,3186
LN,702
LO,67856
LP,3013
LQ,7
LR,1293
LS,17026
LT,12709
LU,13966
LV,5431
LW,3710
LX,104
LY,55524
LZ,13
L_,131456
MA,80742
MB,11516
MC,216
MD,48
ME,129802
MF,1561
MG,9
MH,30
MI,41414
MJ,3
MK,6
ML,1029
MM,8882
MN,2180
MO,52582
MP,23003
MQ,106
MR,3799
MS,12827
MT,89
MU,17244
MV,29
MW,71
MX,2
MY,32854
MZ,5
M_,87345
NA,30363
NB,1056
NC,48365
ND,275218
NE,113606
NF,6637
NG,155243
NH,1250
NI,37786
NJ,1850
NK,13074
NL,9493
NM,1509
NN,11327
NO,107910
NP,678
NQ,1607
NR,1802
NS,49583
NT,116658
NU,7512
NV,4813
NW,883
NX,353
NY,19799
NZ,600
N_,353978
OA,10934
OB,10273
OC,13644
OD,30381
OE,7748
OF,140614
OG,7176
OH,3208
OI,12638
OJ,771
OK,16862
OL,45303
OM,80064
ON,201612
OO,52975
OP,23321
OQ,380
OR,179940
OS,39085
OT,85562
OU,220276
OV,24266
OW,74315
OX,1173
OY,7278
OZ,745
O_,221524
PA,37699
PB,109
PC,33
PD,18
PE,60920
PF,67
PG,12
PH,8971
PI,20724
PJ,5
PK,92
PL,32487
PM,222
PN,71
PO,39806
PP,17259
PQ,0
PR,47331
PS,6214
PT,11477
PU,13820
PV,0
PW,191
PX,1
PY,2303
PZ,2
P_,29937
QA,1
QB,0
QC,0
QD,0
QE,0
QF,0
QG,0
QH,0
QI,0
QJ,0
QK,0
QL,0
QM,0
QN,7
QO,0
QP,0
QQ,0
QR,0
QS,2
QT,0
QU,19047
QV,0
QW,1
QX,0
QY,0
QZ,0
Q_,87
RA,76893
RB,3279
RC,11915
RD,37300
RE,254449
RF,5098
RG,10229
RH,2170
RI,90332
RJ,134
RK,12188
RL,13029
RM,16418
RN,23004
RO,91311
RP,5159
RQ,161
RR,18728
RS,61622
RT,51557
RU,20410
RV,7374
RW,2484
RX,19
RY,37936
RZ,26
R_,283550
SA,50603
SB,1628
SC,18787
SD,1164
SE,136975
SF,1851
SG,726
SH,66731
SI,60803
SJ,40
SK,5349
SL,9937
SM,6604
SN,3413
SO,70584
SP,26573
SQ,1532
SR,217
SS,50675
ST,153650
SU,36127
SV,73
SW,8459
SX,1
SY,3893
SZ,23
S_,532701
TA,58993
TB,139
TC,6639
TD,46
TE,140079
TF,1784
TG,90
TH,594613
TI,111078
TJ,32
TK,8
TL,22644
TM,1748
TN,1955
TO,172717
TP,177
TQ,95
TR,50690
TS,34543
TT,31013
TU,30267
TV,24
TW,13138
TX,1
TY,27949
TZ,407
T_,517761
UA,11015
UB,10349
UC,23917
UD,12098
UE,18612
UF,3793
UG,24481
UH,60
UI,13511
UJ,28
UK,1961
UL,60013
UM,16273
UN,61392
UO,1757
UP,27529
UQ,37
UR,91171
US,76977
UT,85134
UU,85
UV,300
UW,16
UX,415
UY,585
UZ,485
U_,46901
VA,13282
VB,0
VC,2
VD,0
VE,138030
VF,0
VG,0
VH,0
VI,26997
VJ,0
VK,0
VL,7
VM,12
VN,3
VO,7518
VP,0
VQ,0
VR,61
VS,8
VT,2
VU,390
VV,8
VW,0
VX,0
VY,1288
VZ,0
V_,2050
WA,88953
WB,186
WC,12
WD,1232
WE,74075
WF,736
WG,22
WH,77705
WI,77184
WJ,1
WK,658
WL,2201
WM,84
WN,18570
WO,46690
WP,28
WQ,0
WR,6143
WS,6337
WT,170
WU,200
WV,0
WW,91
WX,0
WY,793
WZ,4
W_,52194
XA,2356
XB,88
XC,3829
XD,0
XE,3428
XF,83
XG,0
XH,585
XI,3319
XJ,0
XK,0
XL,148
XM,12
XN,1
XO,131
XP,5222
XQ,129
XR,2
XS,16
XT,5212
XU,330
XV,338
XW,7
XX,640
XY,156
XZ,0
X_,3645
YA,2471
YB,2277
YC,330
YD,218
YE,21392
YF,175
YG,146
YH,225
YI,5556
YJ,8
YK,25
YL,1331
YM,1792
YN,607
YO,59311
YP,804
YQ,5
YR,1728
YS,16938
YT,3635
YU,45
YV,18
YW,1169
YX,8
YY,4
YZ,106
Y_,286055
ZA,1229
ZB,7
ZC,23
ZD,0
ZE,5150
ZF,0
ZG,0
ZH,6
ZI,1018
ZJ,1
ZK,5
ZL,336
ZM,0
ZN,3
ZO,604
ZP,2
ZQ,0
ZR,8
ZS,0
ZT,15
ZU,104
ZV,13
ZW,23
ZX,0
ZY,426
ZZ,631
Z_,873
_A,543211
_B,210282
_C,178993
_D,150891
_E,95086
_F,170947
_G,93668
_H,292951
_I,340505
_J,21235
_K,31844
_L,123837
_M,210840
_N,121276
_O,277843
_P,139028
_Q,9662
_R,87634
_S,346494
_T,716261
_U,52373
_V,30645
_W,316928
_X,1149
_Y,74231
_Z,647
__,0
